"name","value"
"myAccount","Mi cuenta"
"myAvailableLimit","Mi límite disponible"
"myWishlist","mi lista de deseos"
"newLimitPeriod","Nuevo período límite"
"newPassword","Nueva contraseña"
"newestItems","Artículos más nuevos"
"no","No"
"noCompanyFound","No se encontró ninguna empresa"
"noOrderHasBeenMadeYet","Aún no se ha realizado ningún pedido"
"noProductInCart","No hay productos agregados al carrito"
"notFoundSomeLink","Aquí hay algunos enlaces útiles"
"notFoundSorry","Lo sentimos, pero la página que estabas buscando no existe."
"noteAboutOrder","Notas sobre su pedido, p. notas especiales para la entrega"
"of","de"
"ofNewPeriod","de Nuevo Período::"
"ok","OK"
"onHandForTheQuantityYou","disponible por la cantidad que seleccionó. Cualquier saldo se pondrá en pedido pendiente."
"onHandForTheQuantityYouPleaseTryAgain","disponible por la cantidad que seleccionó. Inténtalo de nuevo"
"order","Ordenar"
"orderBy","Ordenar por"
"orderedBy","Ordenar por"
"orderComplete","Orden completada"
"orderDate","Fecha de orden"
"orderLimit","Límite de pedido"
"orderLimitFor","Límite de pedido para"
"orderLimitMessageAddCurrencyDefault","Tenga en cuenta que la moneda para agregar su límite de pedido es la moneda predeterminada actual de su tienda. La visualización del límite de la orden se convertirá en función de la tasa de la moneda predeterminada."
"orderNote","Nota de pedido"
"orderStatus","Estado del pedido"
"orderSummary","Resumen del pedido"
"orders","Pedidos"
"outOfStock","Agotado"
"ownerAccount","Cuenta del propietario"
"page","página"
"password","Clave"
"passwordChange","Cambio de contraseña"
"paymentMethod","Método de pago"
"permission.AuthAdmin","Permitir el acceso a la administración B2B"
"permission.AuthStoreFront","Permitir el acceso a escaparates B2B"
"permission.CartImportCsv","CarritoImportarCsv"
"permission.AgentAssign","Asignar agente"
"permission.AgentCreate","AgenteCrear"
"permission.AgentDelete","AgenteBorrar"
"permission.AgentDisable","Agente Deshabilitar"
"permission.AgentList","Lista de agentes"
"permission.AgentManagement","Gestión de agentes"
"permission.AgentUpdate","Actualización del agente"
"permission.ChangeAgentRolePermission","ChangeAgentRolePermission"
"permission.ChangeCompanyPermission","ChangeCompanyPermission"
"permission.ChangeEmployeeRolePermission","Configurar permiso de empleado"
"permission.ChangeOwnerRolePermission","ChangeOwnerRolePermission"
"permission.CompanyCreate","EmpresaCrear"
"permission.CompanyDelete","EmpresaEliminar"
"permission.CompanyEdit","Editar información de la empresa"
"permission.CompanyManagement","Administracion de COMPAÑIA"
"permission.CompanyOwnerAgentList","Ver lista de agentes asignados"
"permission.CompanyOwnerDisable","EmpresaPropietarioDesactivar"
"permission.CompanyOwnerUpdate","Editar información del propietario"
"permission.CompanyView","CompanyView"
"permission.EditCart","Editar carrito"
"permission.EditProfile","Editar perfil"
"permission.EmployeeCreate","Crear empleado"
"permission.EmployeeDelete","Eliminar empleado"
"permission.EmployeeDisable","Deshabilitar empleado"
"permission.EmployeeEdit","Editar información del empleado"
"permission.EmployeeManagement","Gestión de empleados"
"permission.EmployeeView","Ver empleados"
"permission.EnableQuoteFeature","Habilitar función de cotización"
"permission.FilterProduct","FiltroProducto"
"permission.PermissionManagement","Gestión de permisos"
"permission.QuoteAgentEnable","Habilitar función de cotización"
"permission.QuoteCreateRequest","Crear solicitud de cotización"
"permission.QuoteSend","Enviar solicitud de cotización"
"permission.QuoteDecline","Rechazar cotización"
"permission.QuoteViewCompany","Ver cotización de la empresa"
"permission.SearchProduct","BuscarProducto"
"permission.StoreCreate","TiendaCrear"
"permission.StoreDelete","TiendaEliminar"
"permission.StoreDisable","TiendaDisable"
"permission.StoreEdit","TiendaEditar"
"permission.StoreImportData","StoreImportData"
"permission.StoresSynchronizationSetting","TiendasSincronizaciónConfiguración"
"permission.ViewCart","Ver carrito"
"permission.ViewProductDetail","Ver detalle del producto"
"permission.ViewProductList","Ver lista de productos"
"permission.ViewStockNumber","VerStockNumber"
"permissionsUserHaveBeenUpdated","Los permisos de usuario se han actualizado correctamente."
"phone","Teléfono"
"phoneNumberRequired","El número de teléfono es obligatorio"
"placeholderProductSearch","Buscar producto por palabras clave o SKU"
"pleaseCreateALimitBeforeYouEnable","Cree un límite antes de habilitar este botón."
"pleaseInputYourEmail","Por favor ingrese su correo electrónico"
"pleaseInputYourPassword","Por favor ingrese su contraseña"
"pleaseSelectAStore","Por favor seleccione una tienda"
"prev","Anterior"
"priceRRP","Precio (PVP)"
"priceTrade","Precio (Comercio)"
"proceedToCheckout","Pasar por la caja"
"product","Producto"
"productList","LISTA DE PRODUCTOS"
"productName","Nombre del producto"
"productSKUEANName","Producto SKU/ EAN/ Nombre"
"quickOrder","PEDIDO RÁPIDO"
"recentOrders","órdenes recientes"
"registerNow","Regístrate ahora"
"removeCouponSuccess","Eliminar cupón con éxito"
"removeProduct","Quitar producto"
"requiredField","campo requerido"
"resetPassword","Restablecer la contraseña"
"reviews","Beoordelingen"
"role","Role"
"roles","Roles"
"saveChanges","Guardar cambios"
"searchByFullNameOrEmail","Buscar por nombre completo o correo electrónico"
"searchByNamePhoneEmail","Search by name, phone or email"
"searchOrder","Orden de búsqueda"
"searchResultsFor","Resultado de la búsqueda de"
"selectABuyerThatYouWouldLikeToShopFor","Seleccione un comprador para el que le gustaría comprar"
"selectAnOption","Seleccione una opción"
"selectLevel","Selecciona el nivel"
"selectThePermissionThatYouWantToAssignToThisRole","Seleccione el permiso que desea asignar a este rol"
"shipToDifferent","Enviar a otra dirección"
"shipping","Transporte"
"shippingAndBillingAddresses","direcciones de envío y facturación"
"shippingDetail","Detalles de envío"
"shoppingCart","Carrito de compras"
"size","Talla"
"somethingWrong","Algo está mal"
"sortBy","Ordenar por"
"sortPriceHeightToLow","Ordenar por precio: Alto a bajo"
"sortPriceLowToHeight","Ordenar por precio: Bajo a Alto"
"standardOrder","Estándar"
"state","Estado"
"stateDate","Fecha de inicio"
"street","Calle"
"switchB2BBuyerProfile","Cambiar perfil de comprador B2B"
"theEnterAValidEmailAddress","¡Por favor, introduce una dirección de correo electrónico válida!"
"thereAreNoReviewsYet","Aún no hay reseñas."
"thisFieldIsRequired","¡Este campo es obligatorio!"
"thisMonth","Este mes"
"timeCreated","Tiempo creado"
"titleModalQuoteValidateCheckout","Advertencia: el pago no se ha realizado correctamente"
"today","Este Dia"
"townCity","Pueblo"
"untracked","sin seguimiento"
"updateCart","Actualización de la compra"
"updateSuccess","Actualización exitosa"
"updateTotals","Actualizar totales"
"useStorefrontAsAB2BBuyer","Utilice el escaparate como comprador B2B"
"userId","Identificación de usuario"
"userPermissions","Permisos de usuario"
"userStatus","Estatus de usuario"
"permission.OrderDetails","Ver detalles de la orden"
"youCanOnlySetOneNewLimit","Solo puede establecer un nuevo período límite a la vez. El nuevo período límite sobrescribirá el nuevo período límite existente."
"youHaveNotSetUpAddressYet","Aún no ha configurado la dirección."
"yourOrder","Su pedido"
"yourOrderMess","Recibirá un correo electrónico de confirmación del pedido con los detalles de su pedido y un enlace para seguir su progreso."
"zToA","De la Z a la A"
"validateSendQuoteMessage","La solicitud de cotización debe estar completa y con información válida para enviar, verifique la información nuevamente"
"warningReordering","Reordenación de advertencia"
"continue","Continuar"
"allItemInvalidReOrder","Todos los productos no se reordenaron correctamente porque"
"messageInformReorderFromQuote","¿Este pedido no se cargará con el precio de cotización anterior. ¿Desea continuar?"
"submit","Entregar"
"sendDate","Fecha de envio"
"myProfile","Mi perfil"
"store","Almacenar"
"companies","Compañías"
"back","Atrás"
"backToQuoteList","Volver a la lista de cotizaciones"
"confirmRequest","Confirmar petición"
"goToWishlist","Ir a la lista de deseos"
"messageDeleteQuote2","Desea continuar?"
"to","a"
"updateFail","Actualizar Otoño"
"weDontHaveEnough","Nosotros no tenemos suficiente"
"searchCompany","Buscar empresa"
"billingToDifferent","Facturación a otra dirección"
"ThereIsNoBillingAddress","No hay dirección de facturación."
"ThereIsNoShippingAddress","No hay dirección de envío"
"orderDetail","Detalle de la orden"
"backToOrderOverview","Volver a Resumen de pedidos"
"messageConfirmCancelCreateQuote","¿Está seguro de cancelar la creación de la cotización? El proceso no se guardará."
"errorMessagePostcodeNotAvailableForShipping","La tienda no puede enviar al código postal seleccionado. Por favor actualice su dirección de envío"
"errorMessageCountryNotAvailableForShipping","La tienda solo puede enviar a direcciones dentro de la zona de envío. Por favor actualice su dirección de envío"
"tierPricingPercentage","Compre {{range}} y obtenga {{numberOff}}% de descuento"
"tierPricingPercentageMax","Compre {{minQuantity}} o superior y obtenga {{numberOff}}% de descuento"
"tierPricingFixedAmount","Compre {{range}} y pague solo {{currencyAmount}} cada uno"
"tierPricingFixedAmountMax","Compre {{min}} o superior y pague solo {{currencyAmount}} cada uno"
"tierPricingAmountOff","Compre {{range}} y obtenga {{currencyAmount}} de descuento"
"tierPricingAmountOffMax","Compre {{min}} o superior y obtenga {{currencyAmount}} de descuento"
"tierPricing","Precios por niveles"
"viewMore","Ver más"
"collapse","Colapsar"
"quotes","Lista de cotizaciones"
"viewCart","Ver carrito"
"quoteMessageLabel","Mensaje del cliente"
"quoteTotals","Totales de cotización"
"placeOrder","Realizar pedido"
"userOrEmail","Dirección de correo electrónico"
"permission.QuoteManagement","Gestión de cotizaciones"
"backToQuotes","Volver a la lista de cotizaciones"
"viewDetail","Ver detalles"
"importCSV.titleModal","Pedido al por mayor a través de CSV"
"address1","Address 1"
"address2","Address 2"
"enterYourCustomReference","Introduzca su referencia personalizada."
"rememberMe","Acuérdate de mí"
"saveAddress","Ahorrar"
"pleaseSelect","Por favor seleccione"
"messageCouponsOnlyApplyDefaultCurrency","Los cupones solo se aplican a la moneda predeterminada"
"theCouponCodeNotValid","El código de cupón que ingresó no es válido"
"createNewQuote","crear nueva cotización"
"saveDraftQuoteSuccess","Guardar borrador de cotización con éxito"
"enterCustomerMessageHere","Ingrese su mensaje de cliente aquí"
"quoteSummary","Resumen de la cotización"
"declined","Rechazado"
"draft","RECLUTAR"
"expired","CADUCADO"
"manageCompanies","Manage Companies"
"messageFormIsDirty","Cualquier cambio no guardado se perderá.
  ¿Desea continuar?"
"new","NUEVO"
"newByCustomer","Nuevo por el cliente"
"ordered","ORDENADO"
"orderOverview","Order Overview"
"permission.ChangePermissionPerCompany","Setup Employee Permission"
"postcode","Código postal"
"reoderNotSuccess","Los siguientes productos no se reordenaron correctamente porque:"
"saveDraft","Guardar borrador"
"sendRequest","Enviar petición"
"update","Actualizar"
